TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
ATL,ATL vs. OKC,11/22/2021,W,48,113,42,87,48.3,14,34,41.2,15,16,93.8,8,36,44,25,8,6,6,16,12
MEM,MEM @ UTA,11/22/2021,W,48,119,42,95,44.2,13,35,37.1,22,27,81.5,16,34,50,24,7,10,4,20,1
PHX,PHX @ SAS,11/22/2021,W,48,115,45,88,51.1,12,27,44.4,13,16,81.3,11,33,44,25,15,10,0,18,4
NOP,NOP vs. MIN,11/22/2021,L,48,96,37,88,42,6,32,18.8,16,18,88.9,15,33,48,24,23,6,6,23,-14
PHI,PHI @ SAC,11/22/2021,W,48,102,36,85,42.4,9,32,28.1,21,27,77.8,11,34,45,19,7,9,6,20,8
HOU,HOU @ BOS,11/22/2021,L,48,90,31,83,37.3,11,42,26.2,17,24,70.8,4,38,42,19,15,5,4,20,-18
SAS,SAS vs. PHX,11/22/2021,L,48,111,49,93,52.7,5,20,25,8,16,50,11,33,44,23,15,9,4,16,-4
WAS,WAS vs. CHA,11/22/2021,L,48,103,36,94,38.3,9,37,24.3,22,27,81.5,20,45,65,23,18,6,6,20,-6
CHA,CHA @ WAS,11/22/2021,W,48,109,40,91,44,15,31,48.4,14,24,58.3,6,30,36,21,10,11,4,22,6
BKN,BKN @ CLE,11/22/2021,W,48,117,45,95,47.4,11,35,31.4,16,18,88.9,8,34,42,32,10,6,6,23,5
CLE,CLE vs. BKN,11/22/2021,L,48,112,36,93,38.7,14,44,31.8,26,29,89.7,14,39,53,24,15,6,5,16,-5
OKC,OKC @ ATL,11/22/2021,L,48,101,39,97,40.2,10,38,26.3,13,14,92.9,16,34,50,24,10,5,5,15,-12
DEN,DEN @ POR,11/23/2021,L,48,100,38,78,48.7,15,33,45.5,9,11,81.8,7,30,37,26,19,6,5,15,-19
POR,POR vs. DEN,11/23/2021,W,48,119,45,88,51.1,15,39,38.5,14,20,70,12,31,43,25,9,12,7,18,19
LAC,LAC vs. DAL,11/23/2021,L,53,104,35,85,41.2,10,32,31.3,24,29,82.8,12,35,47,17,19,5,3,24,-8
LAL,LAL @ NYK,11/23/2021,L,48,100,34,91,37.4,11,36,30.6,21,30,70,13,37,50,23,12,8,3,17,-6
NYK,NYK vs. LAL,11/23/2021,W,48,106,37,82,45.1,15,34,44.1,17,21,81,7,45,52,23,17,7,4,23,6
DET,DET vs. MIA,11/23/2021,L,48,92,35,84,41.7,10,38,26.3,12,14,85.7,9,26,35,22,15,7,1,23,-8
DAL,DAL @ LAC,11/23/2021,W,53,112,39,89,43.8,12,39,30.8,22,27,81.5,12,30,42,22,15,11,5,23,8
MIA,MIA @ DET,11/23/2021,W,48,100,35,76,46.1,9,29,31,21,29,72.4,12,39,51,22,17,9,3,19,8
CHI,CHI @ HOU,11/24/2021,L,48,113,44,96,45.8,15,35,42.9,10,12,83.3,8,32,40,26,14,12,6,22,-5
PHX,PHX @ CLE,11/24/2021,W,48,120,45,86,52.3,8,22,36.4,22,28,78.6,10,37,47,26,15,4,2,23,5
CLE,CLE vs. PHX,11/24/2021,L,48,115,43,97,44.3,12,39,30.8,17,25,68,13,31,44,22,10,7,0,23,-5
SAC,SAC vs. POR,11/24/2021,W,48,125,45,86,52.3,12,33,36.4,23,34,67.6,14,29,43,21,14,4,4,21,4
HOU,HOU vs. CHI,11/24/2021,W,48,118,42,84,50,17,36,47.2,17,22,77.3,7,39,46,27,22,5,6,16,5
UTA,UTA @ OKC,11/24/2021,W,48,110,39,86,45.3,15,47,31.9,17,20,85,7,36,43,19,10,11,8,15,6
CHA,CHA @ ORL,11/24/2021,W,48,106,39,93,41.9,12,40,30,16,21,76.2,12,37,49,26,10,11,11,16,7
SAS,SAS vs. ATL,11/24/2021,L,48,106,43,100,43,12,33,36.4,8,10,80,15,29,44,27,12,8,4,16,-18
OKC,OKC vs. UTA,11/24/2021,L,48,104,37,82,45.1,15,36,41.7,15,22,68.2,4,39,43,21,13,7,4,18,-6
LAL,LAL @ IND,11/24/2021,W,53,124,42,95,44.2,15,37,40.5,25,29,86.2,9,43,52,20,12,5,4,21,8
BOS,BOS vs. BKN,11/24/2021,L,48,104,34,91,37.4,11,48,22.9,25,28,89.3,15,30,45,25,11,6,5,24,-19
PHI,PHI @ GSW,11/24/2021,L,48,96,34,80,42.5,8,28,28.6,20,22,90.9,8,33,41,17,21,10,7,22,-20
MIN,MIN vs. MIA,11/24/2021,W,48,113,38,93,40.9,18,55,32.7,19,21,90.5,15,37,52,24,18,10,7,26,12
DET,DET @ MIL,11/24/2021,L,48,93,34,95,35.8,11,45,24.4,14,19,73.7,9,35,44,16,9,7,1,18,-21
TOR,TOR @ MEM,11/24/2021,W,48,126,47,89,52.8,14,30,46.7,18,21,85.7,11,23,34,25,10,8,4,20,13
WAS,WAS @ NOP,11/24/2021,L,48,102,36,84,42.9,7,31,22.6,23,36,63.9,13,32,45,23,19,5,3,23,-25
ORL,ORL vs. CHA,11/24/2021,L,48,99,38,93,40.9,15,42,35.7,8,10,80,10,41,51,23,15,5,1,19,-7
MIA,MIA @ MIN,11/24/2021,L,48,101,33,74,44.6,15,42,35.7,20,29,69,4,36,40,25,21,6,2,25,-12
ATL,ATL @ SAS,11/24/2021,W,48,124,45,88,51.1,12,26,46.2,22,24,91.7,8,36,44,26,11,10,5,11,18
MEM,MEM vs. TOR,11/24/2021,L,48,113,42,82,51.2,9,29,31,20,26,76.9,11,29,40,25,15,6,3,20,-13
BKN,BKN @ BOS,11/24/2021,W,48,123,43,85,50.6,14,35,40,23,30,76.7,10,40,50,29,10,8,4,23,19
GSW,GSW vs. PHI,11/24/2021,W,48,116,42,80,52.5,15,38,39.5,17,24,70.8,4,37,41,32,16,7,5,21,20
MIL,MIL vs. DET,11/24/2021,W,48,114,42,87,48.3,15,36,41.7,15,17,88.2,10,46,56,23,16,5,6,18,21
IND,IND vs. LAL,11/24/2021,L,53,116,42,104,40.4,13,46,28.3,19,24,79.2,14,38,52,25,11,3,5,25,-8
NOP,NOP vs. WAS,11/24/2021,W,48,127,44,96,45.8,12,29,41.4,27,32,84.4,12,40,52,33,11,13,2,26,25
POR,POR @ SAC,11/24/2021,L,48,121,44,94,46.8,12,38,31.6,21,25,84,13,30,43,27,15,9,1,26,-4
MIN,MIN @ CHA,11/26/2021,L,48,115,45,100,45,11,35,31.4,14,19,73.7,15,30,45,24,12,8,6,20,-18
ORL,ORL vs. CHI,11/26/2021,L,48,88,30,80,37.5,7,32,21.9,21,30,70,5,31,36,18,15,7,5,16,-35
POR,POR @ GSW,11/26/2021,L,48,103,36,86,41.9,13,38,34.2,18,23,78.3,7,30,37,23,10,7,2,13,-15
TOR,TOR @ IND,11/26/2021,L,48,97,37,89,41.6,7,30,23.3,16,22,72.7,13,28,41,17,11,8,3,18,-17
WAS,WAS @ OKC,11/26/2021,W,48,101,38,79,48.1,10,29,34.5,15,15,100,5,38,43,17,15,2,12,15,2
LAL,LAL vs. SAC,11/26/2021,L,63,137,51,102,50,15,44,34.1,20,28,71.4,9,42,51,32,19,9,6,27,-4
DEN,DEN vs. MIL,11/26/2021,L,48,109,40,92,43.5,17,47,36.2,12,14,85.7,9,22,31,24,8,9,2,19,-11
SAC,SAC @ LAL,11/26/2021,W,63,141,54,120,45,14,45,31.1,19,29,65.5,16,40,56,32,15,11,4,26,4
NOP,NOP @ UTA,11/26/2021,W,48,98,38,89,42.7,11,27,40.7,11,13,84.6,6,33,39,27,14,8,4,21,1
SAS,SAS vs. BOS,11/26/2021,W,48,96,38,87,43.7,6,24,25,14,19,73.7,8,45,53,21,11,7,6,15,8
PHX,PHX @ NYK,11/26/2021,W,48,118,44,79,55.7,13,28,46.4,17,21,81,1,34,35,28,11,10,2,19,21
DET,DET @ LAC,11/26/2021,L,48,96,33,90,36.7,8,33,24.2,22,26,84.6,13,39,52,17,15,8,4,19,-11
MIL,MIL @ DEN,11/26/2021,W,48,120,46,73,63,16,33,48.5,12,20,60,5,39,44,24,22,3,7,14,11
LAC,LAC vs. DET,11/26/2021,W,48,107,39,91,42.9,11,38,28.9,18,19,94.7,11,43,54,26,15,9,4,27,11
NYK,NYK vs. PHX,11/26/2021,L,48,97,34,92,37,12,39,30.8,17,22,77.3,17,34,51,13,16,7,1,20,-21
MEM,MEM vs. ATL,11/26/2021,L,48,100,37,91,40.7,12,38,31.6,14,19,73.7,10,26,36,27,13,8,7,19,-32
GSW,GSW vs. POR,11/26/2021,W,48,118,47,87,54,12,37,32.4,12,16,75,11,37,48,31,15,8,5,19,15
ATL,ATL @ MEM,11/26/2021,W,48,132,52,89,58.4,13,27,48.1,15,21,71.4,9,40,49,33,12,8,5,15,32
UTA,UTA vs. NOP,11/26/2021,L,48,97,36,80,45,13,33,39.4,12,18,66.7,9,34,43,17,18,6,8,22,-1
IND,IND vs. TOR,11/26/2021,W,48,114,47,97,48.5,11,39,28.2,9,11,81.8,17,36,53,31,13,6,4,19,17
CHA,CHA vs. MIN,11/26/2021,W,48,133,49,88,55.7,23,40,57.5,12,15,80,7,37,44,32,16,5,7,21,18
BOS,BOS @ SAS,11/26/2021,L,48,88,34,92,37,10,34,29.4,10,15,66.7,12,39,51,20,11,4,8,20,-8
OKC,OKC vs. WAS,11/26/2021,L,48,99,38,94,40.4,11,33,33.3,12,14,85.7,10,31,41,23,10,7,4,15,-2
CHI,CHI @ ORL,11/26/2021,W,48,123,48,86,55.8,17,34,50,10,16,62.5,6,41,47,32,14,11,1,24,35
HOU,HOU vs. CHA,11/27/2021,W,53,146,51,95,53.7,23,49,46.9,21,31,67.7,10,31,41,36,15,5,4,25,3
DAL,DAL vs. WAS,11/27/2021,L,48,114,42,89,47.2,14,38,36.8,16,22,72.7,9,26,35,23,7,7,4,21,-6
ATL,ATL vs. NYK,11/27/2021,L,48,90,33,93,35.5,9,37,24.3,15,20,75,13,39,52,18,7,8,6,17,-9
PHX,PHX @ BKN,11/27/2021,W,48,113,41,92,44.6,13,38,34.2,18,21,85.7,11,30,41,17,13,11,1,17,6
MIN,MIN @ PHI,11/27/2021,W,58,121,48,96,50,14,36,38.9,11,16,68.8,11,43,54,22,21,7,6,31,1
BKN,BKN vs. PHX,11/27/2021,L,48,107,42,84,50,7,23,30.4,16,21,76.2,10,37,47,25,20,7,5,15,-6
NYK,NYK @ ATL,11/27/2021,W,48,99,36,82,43.9,11,29,37.9,16,22,72.7,8,42,50,20,10,4,3,17,9
PHI,PHI vs. MIN,11/27/2021,L,58,120,39,93,41.9,12,34,35.3,30,39,76.9,12,32,44,27,16,13,5,25,-1
CHA,CHA @ HOU,11/27/2021,L,53,143,48,103,46.6,20,50,40,27,30,90,16,23,39,31,11,10,5,23,-3
ORL,ORL @ CLE,11/27/2021,L,48,92,35,88,39.8,8,32,25,14,23,60.9,8,35,43,21,9,11,5,16,-13
MIA,MIA @ CHI,11/27/2021,W,48,107,37,86,43,14,40,35,19,22,86.4,9,27,36,23,10,13,1,19,3
CHI,CHI vs. MIA,11/27/2021,L,48,104,38,81,46.9,11,39,28.2,17,21,81,10,37,47,22,23,6,4,20,-3
NOP,NOP @ UTA,11/27/2021,L,48,105,40,93,43,8,35,22.9,17,21,81,14,31,45,27,15,8,3,20,-22
WAS,WAS @ DAL,11/27/2021,W,48,120,45,78,57.7,9,24,37.5,21,26,80.8,7,36,43,28,15,4,4,18,6
CLE,CLE vs. ORL,11/27/2021,W,48,105,41,90,45.6,14,39,35.9,9,12,75,10,41,51,28,13,3,9,18,13
UTA,UTA vs. NOP,11/27/2021,W,48,127,45,80,56.3,20,35,57.1,17,22,77.3,7,34,41,24,18,9,4,25,22
GSW,GSW @ LAC,11/28/2021,W,48,105,38,86,44.2,17,40,42.5,12,22,54.5,11,32,43,25,17,19,2,27,15
SAC,SAC @ MEM,11/28/2021,L,48,101,33,97,34,9,42,21.4,26,37,70.3,12,37,49,17,8,5,8,18,-27
DET,DET @ LAL,11/28/2021,L,48,106,38,89,42.7,13,33,39.4,17,19,89.5,12,41,53,29,17,5,4,20,-4
LAL,LAL vs. DET,11/28/2021,W,48,110,43,86,50,9,32,28.1,15,25,60,6,36,42,32,12,11,8,18,4
BOS,BOS @ TOR,11/28/2021,W,48,109,34,82,41.5,12,34,35.3,29,31,93.5,12,41,53,24,18,5,3,19,12
MEM,MEM vs. SAC,11/28/2021,W,48,128,50,104,48.1,13,39,33.3,15,20,75,14,54,68,30,10,4,11,25,27
LAC,LAC vs. GSW,11/28/2021,L,48,90,32,80,40,9,28,32.1,17,25,68,15,32,47,18,25,8,3,21,-15
MIL,MIL @ IND,11/28/2021,W,48,118,46,90,51.1,8,35,22.9,18,22,81.8,13,39,52,27,14,7,3,14,18
IND,IND vs. MIL,11/28/2021,L,48,100,38,92,41.3,12,45,26.7,12,16,75,12,33,45,21,13,6,2,21,-18
TOR,TOR vs. BOS,11/28/2021,L,48,97,35,93,37.6,13,42,31,14,16,87.5,14,30,44,19,11,6,5,24,-12
PHI,PHI vs. ORL,11/29/2021,W,48,101,39,97,40.2,10,33,30.3,13,18,72.2,12,43,55,24,11,7,6,19,5
DAL,DAL vs. CLE,11/29/2021,L,48,96,39,89,43.8,12,39,30.8,6,15,40,7,26,33,20,10,8,7,15,-18
LAC,LAC vs. NOP,11/29/2021,L,48,104,37,72,51.4,14,36,38.9,16,21,76.2,4,31,35,17,15,2,2,16,-19
DEN,DEN @ MIA,11/29/2021,W,48,120,43,74,58.1,18,35,51.4,16,21,76.2,5,30,35,32,13,2,1,18,9
ORL,ORL @ PHI,11/29/2021,L,48,96,37,90,41.1,8,33,24.2,14,18,77.8,8,47,55,20,12,7,6,21,-5
WAS,WAS @ SAS,11/29/2021,L,48,99,41,92,44.6,9,31,29,8,13,61.5,12,28,40,26,7,5,3,15,-17
POR,POR @ UTA,11/29/2021,L,48,107,42,91,46.2,11,31,35.5,12,17,70.6,12,30,42,19,9,1,3,18,-22
IND,IND @ MIN,11/29/2021,L,48,98,36,91,39.6,9,37,24.3,17,21,81,8,39,47,27,14,6,3,18,-2
HOU,HOU vs. OKC,11/29/2021,W,48,102,40,96,41.7,15,46,32.6,7,11,63.6,9,51,60,31,14,7,5,19,13
MIA,MIA vs. DEN,11/29/2021,L,48,111,43,91,47.3,15,44,34.1,10,15,66.7,12,27,39,32,9,2,1,18,-9
CHI,CHI vs. CHA,11/29/2021,W,48,133,53,89,59.6,14,30,46.7,13,19,68.4,5,36,41,35,11,3,5,19,14
MIN,MIN vs. IND,11/29/2021,W,48,100,36,82,43.9,9,35,25.7,19,26,73.1,8,39,47,25,14,8,5,25,2
OKC,OKC @ HOU,11/29/2021,L,48,89,31,87,35.6,7,43,16.3,20,26,76.9,4,41,45,16,13,10,10,14,-13
NOP,NOP @ LAC,11/29/2021,W,48,123,48,94,51.1,14,35,40,13,16,81.3,14,33,47,30,8,11,1,21,19
SAS,SAS vs. WAS,11/29/2021,W,48,116,49,92,53.3,8,18,44.4,10,16,62.5,15,36,51,28,10,4,6,15,17
CLE,CLE @ DAL,11/29/2021,W,48,114,45,80,56.3,10,19,52.6,14,18,77.8,5,43,48,29,20,3,4,22,18
CHA,CHA @ CHI,11/29/2021,L,48,119,42,88,47.7,18,39,46.2,17,21,81,5,29,34,23,9,7,9,14,-14
UTA,UTA vs. POR,11/29/2021,W,48,129,47,89,52.8,19,46,41.3,16,23,69.6,8,35,43,30,5,6,3,19,22
PHX,PHX vs. GSW,11/30/2021,W,48,104,43,87,49.4,12,30,40,6,11,54.5,8,27,35,28,13,12,4,12,8
NYK,NYK @ BKN,11/30/2021,L,48,110,44,91,48.4,11,32,34.4,11,12,91.7,10,32,42,27,11,5,2,21,-2
DET,DET @ POR,11/30/2021,L,48,92,29,76,38.2,9,35,25.7,25,30,83.3,7,38,45,17,19,4,7,20,-18
LAL,LAL @ SAC,11/30/2021,W,48,117,46,92,50,11,28,39.3,14,20,70,10,37,47,21,15,10,6,20,25
MEM,MEM @ TOR,11/30/2021,W,48,98,36,93,38.7,10,34,29.4,16,19,84.2,18,36,54,18,17,13,10,15,7
GSW,GSW @ PHX,11/30/2021,L,48,96,36,86,41.9,14,40,35,10,14,71.4,15,36,51,25,23,7,5,13,-8
POR,POR vs. DET,11/30/2021,W,48,110,41,96,42.7,14,42,33.3,14,18,77.8,10,33,43,24,11,8,5,22,18
BKN,BKN vs. NYK,11/30/2021,W,48,112,41,85,48.2,8,28,28.6,22,25,88,9,29,38,27,9,7,7,14,2
TOR,TOR vs. MEM,11/30/2021,L,48,91,36,91,39.6,10,39,25.6,9,12,75,11,33,44,14,18,7,9,21,-7
SAC,SAC vs. LAL,11/30/2021,L,48,92,35,79,44.3,6,29,20.7,16,22,72.7,9,31,40,22,20,11,4,21,-25
ORL,ORL vs. DEN,12/1/2021,W,48,108,44,81,54.3,6,27,22.2,14,19,73.7,1,38,39,26,13,8,6,15,5
MIL,MIL vs. CHA,12/1/2021,W,48,127,46,94,48.9,14,36,38.9,21,26,80.8,9,36,45,29,13,10,1,20,2
BOS,BOS vs. PHI,12/1/2021,W,48,88,33,79,41.8,11,28,39.3,11,15,73.3,4,42,46,18,13,5,8,15,1
WAS,WAS vs. MIN,12/1/2021,W,48,115,45,91,49.5,10,32,31.3,15,21,71.4,14,38,52,34,14,6,7,23,8
OKC,OKC vs. HOU,12/1/2021,L,48,110,40,85,47.1,8,32,25,22,29,75.9,10,25,35,16,13,9,6,21,-4
SAC,SAC @ LAC,12/1/2021,W,48,124,46,88,52.3,15,38,39.5,17,20,85,7,31,38,28,12,8,1,16,9
DEN,DEN @ ORL,12/1/2021,L,48,103,39,80,48.8,10,34,29.4,15,21,71.4,1,34,35,22,15,5,4,19,-5
LAC,LAC vs. SAC,12/1/2021,L,48,115,47,100,47,9,31,29,12,16,75,17,32,49,35,13,8,6,15,-9
DAL,DAL @ NOP,12/1/2021,W,48,139,57,83,68.7,18,34,52.9,7,9,77.8,9,25,34,32,18,7,2,19,32
ATL,ATL @ IND,12/1/2021,W,48,114,44,86,51.2,16,33,48.5,10,12,83.3,7,34,41,24,13,4,8,15,3
IND,IND vs. ATL,12/1/2021,L,48,111,44,90,48.9,10,33,30.3,13,16,81.3,8,32,40,23,10,8,4,18,-3
MIA,MIA vs. CLE,12/1/2021,L,48,85,32,85,37.6,12,37,32.4,9,13,69.2,9,19,28,21,13,8,4,17,-26
PHI,PHI @ BOS,12/1/2021,L,48,87,33,89,37.1,8,31,25.8,13,17,76.5,8,38,46,20,7,7,9,17,-1
MIN,MIN @ WAS,12/1/2021,L,48,107,37,88,42,11,37,29.7,22,26,84.6,12,27,39,15,13,3,6,23,-8
HOU,HOU @ OKC,12/1/2021,W,48,114,40,79,50.6,15,37,40.5,19,22,86.4,8,32,40,25,19,9,12,25,4
CHA,CHA @ MIL,12/1/2021,L,48,125,43,87,49.4,21,51,41.2,18,21,85.7,3,33,36,30,17,8,9,21,-2
CLE,CLE @ MIA,12/1/2021,W,48,111,37,68,54.4,16,31,51.6,21,23,91.3,6,40,46,27,21,8,14,15,26
NOP,NOP vs. DAL,12/1/2021,L,48,107,40,89,44.9,13,37,35.1,14,16,87.5,16,16,32,22,16,10,1,12,-32
DET,DET @ PHX,12/2/2021,L,48,103,36,80,45,11,27,40.7,20,26,76.9,7,29,36,20,13,6,6,22,-11
POR,POR vs. SAS,12/2/2021,L,48,83,29,82,35.4,12,34,35.3,13,17,76.5,8,33,41,19,18,8,6,20,-31
OKC,OKC @ MEM,12/2/2021,L,48,79,25,76,32.9,11,38,28.9,18,22,81.8,8,18,26,14,20,2,5,14,-73
TOR,TOR vs. MIL,12/2/2021,W,48,97,37,88,42,14,40,35,9,14,64.3,15,32,47,23,14,10,7,24,4
CHI,CHI @ NYK,12/2/2021,W,48,119,44,89,49.4,11,29,37.9,20,21,95.2,13,26,39,24,15,10,8,22,4
MIL,MIL @ TOR,12/2/2021,L,48,93,32,85,37.6,11,31,35.5,18,25,72,16,31,47,16,15,4,4,12,-4
NYK,NYK vs. CHI,12/2/2021,L,48,115,42,82,51.2,9,26,34.6,22,27,81.5,10,29,39,19,18,10,8,20,-4
PHX,PHX vs. DET,12/2/2021,W,48,114,43,79,54.4,12,21,57.1,16,23,69.6,6,38,44,23,15,8,3,20,11
MEM,MEM vs. OKC,12/2/2021,W,48,152,60,96,62.5,19,36,52.8,13,18,72.2,14,39,53,41,10,16,9,15,73
SAS,SAS @ POR,12/2/2021,W,48,114,44,91,48.4,14,36,38.9,12,16,75,6,42,48,32,14,10,5,15,31
GSW,GSW vs. PHX,12/3/2021,W,48,118,45,92,48.9,19,39,48.7,9,12,75,11,40,51,30,17,10,8,29,22
HOU,HOU vs. ORL,12/3/2021,W,48,118,44,92,47.8,17,47,36.2,13,15,86.7,7,28,35,33,12,7,5,16,2
LAL,LAL vs. LAC,12/3/2021,L,48,115,45,90,50,12,33,36.4,13,21,61.9,13,30,43,28,12,8,3,19,-4
BKN,BKN vs. MIN,12/3/2021,W,48,110,36,76,47.4,6,23,26.1,32,41,78,7,34,41,26,17,4,4,31,5
PHI,PHI @ ATL,12/3/2021,W,48,98,38,81,46.9,9,22,40.9,13,17,76.5,6,34,40,22,11,8,5,24,2
MIA,MIA @ IND,12/3/2021,W,48,113,43,81,53.1,16,34,47.1,11,13,84.6,9,29,38,24,13,5,6,22,9
DAL,DAL vs. NOP,12/3/2021,L,48,91,32,79,40.5,10,34,29.4,17,26,65.4,5,37,42,17,15,4,3,23,-16
PHX,PHX @ GSW,12/3/2021,L,48,96,31,81,38.3,8,22,36.4,26,35,74.3,9,29,38,23,16,9,3,15,-22
MIN,MIN @ BKN,12/3/2021,L,48,105,36,93,38.7,13,42,31,20,24,83.3,16,28,44,22,18,5,4,25,-5
NOP,NOP @ DAL,12/3/2021,W,48,107,37,90,41.1,12,30,40,21,28,75,13,42,55,30,10,5,5,26,16
WAS,WAS vs. CLE,12/3/2021,L,48,101,38,82,46.3,10,31,32.3,15,19,78.9,3,30,33,21,10,5,4,22,-15
ATL,ATL vs. PHI,12/3/2021,L,48,96,31,76,40.8,10,28,35.7,24,30,80,11,36,47,20,15,5,3,20,-2
CLE,CLE @ WAS,12/3/2021,W,48,116,42,89,47.2,13,30,43.3,19,25,76,15,39,54,30,16,2,5,19,15
LAC,LAC @ LAL,12/3/2021,W,48,119,41,81,50.6,16,35,45.7,21,24,87.5,6,28,34,28,10,5,3,19,4
BOS,BOS @ UTA,12/3/2021,L,48,130,47,91,51.6,14,39,35.9,22,22,100,5,25,30,23,6,9,3,22,-7
ORL,ORL @ HOU,12/3/2021,L,48,116,42,86,48.8,13,37,35.1,19,21,90.5,10,35,45,24,18,6,4,21,-2
UTA,UTA vs. BOS,12/3/2021,W,48,137,45,81,55.6,27,51,52.9,20,23,87,9,35,44,26,20,3,3,27,7
IND,IND vs. MIA,12/3/2021,L,48,104,35,80,43.8,9,36,25,25,33,75.8,12,27,39,20,13,7,3,19,-9
MEM,MEM @ DAL,12/4/2021,W,48,97,37,76,48.7,9,26,34.6,14,24,58.3,10,42,52,20,23,10,5,23,7
DEN,DEN @ NYK,12/4/2021,W,48,113,44,84,52.4,20,43,46.5,5,5,100,8,34,42,30,13,10,5,19,14
DAL,DAL vs. MEM,12/4/2021,L,48,90,31,92,33.7,15,43,34.9,13,19,68.4,14,28,42,19,15,10,1,21,-7
CHI,CHI @ BKN,12/4/2021,W,48,111,41,86,47.7,10,31,32.3,19,27,70.4,7,40,47,22,9,4,10,12,4
MIA,MIA @ MIL,12/4/2021,L,48,102,34,84,40.5,17,43,39.5,17,24,70.8,9,30,39,29,15,6,5,17,-22
POR,POR vs. BOS,12/4/2021,L,48,117,42,89,47.2,8,29,27.6,25,32,78.1,9,23,32,22,9,7,2,21,-28
SAC,SAC vs. LAC,12/4/2021,W,48,104,36,86,41.9,12,34,35.3,20,25,80,11,40,51,19,17,8,8,25,5
MIL,MIL vs. MIA,12/4/2021,W,48,124,44,98,44.9,18,50,36,18,20,90,19,38,57,32,14,3,6,22,22
LAC,LAC @ SAC,12/4/2021,L,48,99,34,89,38.2,13,34,38.2,18,27,66.7,9,38,47,23,18,7,3,24,-5
BOS,BOS @ POR,12/4/2021,W,48,145,49,87,56.3,21,37,56.8,26,29,89.7,12,34,46,26,12,5,7,21,28
BKN,BKN vs. CHI,12/4/2021,L,48,107,46,111,41.4,8,25,32,7,9,77.8,15,40,55,28,7,8,6,19,-4
SAS,SAS @ GSW,12/4/2021,W,48,112,42,88,47.7,12,35,34.3,16,19,84.2,11,34,45,24,12,10,4,17,5
GSW,GSW vs. SAS,12/4/2021,L,48,107,40,90,44.4,13,39,33.3,14,21,66.7,11,34,45,26,13,6,2,18,-5
NYK,NYK vs. DEN,12/4/2021,L,48,99,35,88,39.8,12,40,30,17,21,81,16,24,40,23,11,7,3,12,-14
UTA,UTA @ CLE,12/5/2021,W,48,109,40,90,44.4,20,48,41.7,9,10,90,14,32,46,24,17,8,5,14,1
WAS,WAS @ TOR,12/5/2021,L,48,90,30,73,41.1,8,25,32,22,29,75.9,6,37,43,20,10,4,5,22,-12
CLE,CLE vs. UTA,12/5/2021,L,48,108,42,91,46.2,14,38,36.8,10,13,76.9,15,30,45,20,14,12,5,8,-1
HOU,HOU vs. NOP,12/5/2021,W,48,118,39,79,49.4,17,40,42.5,23,29,79.3,11,29,40,24,14,3,3,23,10
NOP,NOP @ HOU,12/5/2021,L,48,108,40,94,42.6,10,38,26.3,18,25,72,22,28,50,19,8,9,9,26,-10
TOR,TOR vs. WAS,12/5/2021,W,48,102,38,85,44.7,8,23,34.8,18,24,75,10,37,47,22,8,3,1,24,12
ATL,ATL vs. CHA,12/5/2021,L,48,127,48,93,51.6,17,37,45.9,14,18,77.8,10,35,45,29,11,4,3,19,-3
CHA,CHA @ ATL,12/5/2021,W,48,130,46,86,53.5,17,37,45.9,21,28,75,7,32,39,21,6,9,3,18,3
SAS,SAS @ PHX,12/6/2021,L,48,104,40,93,43,11,29,37.9,13,19,68.4,9,32,41,31,15,12,6,18,-4
POR,POR vs. LAC,12/6/2021,L,48,90,35,79,44.3,5,22,22.7,15,20,75,7,38,45,16,18,6,6,19,-12
MEM,MEM @ MIA,12/6/2021,W,48,105,38,89,42.7,13,33,39.4,16,21,76.2,16,31,47,26,19,11,6,18,15
MIN,MIN vs. ATL,12/6/2021,L,48,110,39,98,39.8,17,40,42.5,15,19,78.9,16,34,50,22,8,9,5,17,-11
WAS,WAS @ IND,12/6/2021,L,48,110,43,81,53.1,7,15,46.7,17,21,81,9,21,30,25,12,11,2,19,-6
MIL,MIL vs. CLE,12/6/2021,W,48,112,40,86,46.5,13,32,40.6,19,24,79.2,8,45,53,21,17,7,5,20,8
CHA,CHA vs. PHI,12/6/2021,L,53,124,48,107,44.9,16,46,34.8,12,17,70.6,13,29,42,31,8,6,6,18,-3
OKC,OKC @ DET,12/6/2021,W,48,114,41,82,50,9,25,36,23,30,76.7,6,34,40,22,11,10,11,13,11
PHI,PHI @ CHA,12/6/2021,W,53,127,46,87,52.9,15,36,41.7,20,27,74.1,8,41,49,28,15,6,9,19,3
PHX,PHX vs. SAS,12/6/2021,W,48,108,43,94,45.7,10,29,34.5,12,18,66.7,15,34,49,27,17,6,4,20,4
ATL,ATL @ MIN,12/6/2021,W,48,121,40,90,44.4,25,49,51,16,19,84.2,11,38,49,31,12,5,8,20,11
DET,DET vs. OKC,12/6/2021,L,48,103,41,99,41.4,16,41,39,5,6,83.3,16,36,52,21,17,8,7,26,-11
ORL,ORL @ GSW,12/6/2021,L,48,95,33,76,43.4,11,38,28.9,18,22,81.8,5,33,38,18,23,10,4,20,-31
