TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
GSW,GSW vs. PHX,10/24/2023,L,48,104,36,101,35.6,10,43,23.3,22,28,78.6,18,31,49,19,11,11,6,23,-4
LAL,LAL @ DEN,10/24/2023,L,48,107,41,90,45.6,10,29,34.5,15,20,75,13,31,44,23,12,5,4,18,-12
PHX,PHX @ GSW,10/24/2023,W,48,108,42,95,44.2,11,33,33.3,13,17,76.5,17,43,60,23,19,5,7,22,4
DEN,DEN vs. LAL,10/24/2023,W,48,119,48,91,52.7,14,34,41.2,9,12,75,9,33,42,29,12,9,6,15,12
MEM,MEM vs. NOP,10/25/2023,L,48,104,38,91,41.8,12,43,27.9,16,20,80,8,29,37,23,13,8,7,19,-7
HOU,HOU @ ORL,10/25/2023,L,48,86,32,79,40.5,12,34,35.3,10,16,62.5,7,24,31,19,19,6,3,24,-30
MIN,MIN @ TOR,10/25/2023,L,48,94,34,100,34,8,31,25.8,18,22,81.8,16,46,62,20,14,8,9,14,-3
ORL,ORL vs. HOU,10/25/2023,W,48,116,42,87,48.3,9,34,26.5,23,26,88.5,17,40,57,19,16,8,6,20,30
BOS,BOS @ NYK,10/25/2023,W,48,108,37,77,48.1,12,39,30.8,22,26,84.6,7,39,46,18,13,6,11,22,4
WAS,WAS @ IND,10/25/2023,L,48,120,44,96,45.8,9,24,37.5,23,29,79.3,11,34,45,28,14,6,9,11,-23
IND,IND vs. WAS,10/25/2023,W,48,143,56,107,52.3,20,43,46.5,11,12,91.7,10,41,51,38,12,10,8,23,23
TOR,TOR vs. MIN,10/25/2023,W,48,97,36,90,40,14,35,40,11,16,68.8,8,39,47,27,14,9,11,18,3
OKC,OKC @ CHI,10/25/2023,W,48,124,45,82,54.9,19,39,48.7,15,18,83.3,5,38,43,30,16,6,4,19,20
NYK,NYK vs. BOS,10/25/2023,L,48,104,36,97,37.1,18,41,43.9,14,26,53.8,17,30,47,24,11,9,0,22,-4
CHI,CHI vs. OKC,10/25/2023,L,48,104,39,94,41.5,12,42,28.6,14,18,77.8,13,29,42,26,13,10,3,16,-20
CHA,CHA vs. ATL,10/25/2023,W,48,116,43,86,50,11,37,29.7,19,26,73.1,12,39,51,34,19,5,3,21,6
SAS,SAS vs. DAL,10/25/2023,L,48,119,46,89,51.7,11,35,31.4,16,22,72.7,9,36,45,33,19,8,5,23,-7
NOP,NOP @ MEM,10/25/2023,W,48,111,40,85,47.1,14,32,43.8,17,22,77.3,11,41,52,22,21,8,5,21,7
DAL,DAL @ SAS,10/25/2023,W,48,126,47,99,47.5,15,47,31.9,17,23,73.9,13,35,48,24,12,6,3,20,7
DET,DET @ MIA,10/25/2023,L,48,102,41,92,44.6,11,32,34.4,9,15,60,17,39,56,28,17,3,13,23,-1
SAC,SAC @ UTA,10/25/2023,W,48,130,47,102,46.1,19,51,37.3,17,20,85,15,30,45,29,12,6,8,25,16
UTA,UTA vs. SAC,10/25/2023,L,48,114,41,91,45.1,9,28,32.1,23,31,74.2,16,38,54,22,14,6,2,20,-16
BKN,BKN vs. CLE,10/25/2023,L,48,113,42,84,50,9,27,33.3,20,26,76.9,13,37,50,30,18,6,6,16,-1
POR,POR @ LAC,10/25/2023,L,48,111,44,93,47.3,10,32,31.3,13,17,76.5,15,25,40,20,18,10,4,20,-12
ATL,ATL @ CHA,10/25/2023,L,48,110,39,93,41.9,5,29,17.2,27,33,81.8,12,30,42,24,12,12,1,19,-6
CLE,CLE @ BKN,10/25/2023,W,48,114,44,94,46.8,17,43,39.5,9,10,90,9,29,38,25,10,10,6,23,1
LAC,LAC vs. POR,10/25/2023,W,48,123,47,90,52.2,16,34,47.1,13,16,81.3,14,31,45,36,18,11,7,20,12
MIA,MIA vs. DET,10/25/2023,W,48,103,37,92,40.2,8,22,36.4,21,26,80.8,16,32,48,22,7,11,3,18,1
MIL,MIL vs. PHI,10/26/2023,W,48,118,41,81,50.6,11,30,36.7,25,36,69.4,8,35,43,20,14,9,4,23,1
PHX,PHX @ LAL,10/26/2023,L,48,95,34,81,42,9,31,29,18,23,78.3,10,39,49,16,24,7,3,21,-5
PHI,PHI @ MIL,10/26/2023,L,48,117,41,80,51.3,16,35,45.7,19,28,67.9,4,35,39,25,15,8,4,28,-1
LAL,LAL vs. PHX,10/26/2023,W,48,100,36,84,42.9,5,29,17.2,23,29,79.3,8,34,42,24,16,14,7,23,5
LAC,LAC @ UTA,10/27/2023,L,48,118,41,77,53.2,14,35,40,22,28,78.6,6,30,36,17,16,8,6,22,-2
CLE,CLE vs. OKC,10/27/2023,L,48,105,38,92,41.3,12,45,26.7,17,23,73.9,8,40,48,20,14,10,8,16,-3
MEM,MEM vs. DEN,10/27/2023,L,48,104,37,84,44,10,33,30.3,20,24,83.3,13,35,48,22,21,13,7,23,-4
TOR,TOR @ CHI,10/27/2023,L,53,103,39,84,46.4,9,36,25,16,25,64,8,45,53,25,23,5,2,29,-1
HOU,HOU @ SAS,10/27/2023,L,53,122,52,100,52,8,32,25,10,20,50,11,32,43,30,18,7,2,26,-4
POR,POR vs. ORL,10/27/2023,L,48,97,35,88,39.8,9,32,28.1,18,21,85.7,15,32,47,15,16,6,1,24,-5
BKN,BKN @ DAL,10/27/2023,L,48,120,45,92,48.9,21,43,48.8,9,10,90,10,37,47,30,16,5,4,28,-5
DET,DET @ CHA,10/27/2023,W,48,111,40,88,45.5,10,30,33.3,21,25,84,12,41,53,28,24,7,6,29,12
DEN,DEN @ MEM,10/27/2023,W,48,108,41,88,46.6,14,37,37.8,12,18,66.7,6,33,39,27,19,11,9,18,4
ATL,ATL vs. NYK,10/27/2023,L,48,120,42,87,48.3,12,32,37.5,24,30,80,9,35,44,28,14,7,6,20,-6
SAS,SAS vs. HOU,10/27/2023,W,53,126,46,94,48.9,13,42,31,21,28,75,12,31,43,32,18,11,4,17,4
CHA,CHA vs. DET,10/27/2023,L,48,99,33,88,37.5,7,28,25,26,34,76.5,11,30,41,20,18,13,7,23,-12
SAC,SAC vs. GSW,10/27/2023,L,48,114,41,94,43.6,12,40,30,20,29,69,10,31,41,24,14,10,3,16,-8
CHI,CHI vs. TOR,10/27/2023,W,53,104,37,99,37.4,8,39,20.5,22,28,78.6,15,37,52,18,17,10,5,22,1
UTA,UTA vs. LAC,10/27/2023,W,48,120,42,96,43.8,16,41,39,20,22,90.9,17,28,45,27,14,7,4,24,2
MIA,MIA @ BOS,10/27/2023,L,48,111,38,89,42.7,16,33,48.5,19,23,82.6,11,34,45,24,12,8,6,16,-8
GSW,GSW @ SAC,10/27/2023,W,48,122,48,87,55.2,14,32,43.8,12,14,85.7,7,32,39,32,19,14,3,24,8
BOS,BOS vs. MIA,10/27/2023,W,48,119,45,95,47.4,16,39,41,13,19,68.4,16,39,55,20,15,7,6,19,8
ORL,ORL @ POR,10/27/2023,W,48,102,36,79,45.6,9,28,32.1,21,32,65.6,10,35,45,22,14,10,5,16,5
OKC,OKC @ CLE,10/27/2023,W,48,108,40,87,46,13,26,50,15,19,78.9,6,41,47,22,18,8,10,17,3
DAL,DAL vs. BKN,10/27/2023,W,48,125,44,91,48.4,15,36,41.7,22,28,78.6,8,32,40,20,9,5,2,15,5
